Fecha inicial;PM10
7/12/2023 7:00;118.73
7/12/2023 6:00;82.31
7/12/2023 5:00;43.17
7/12/2023 4:00;43.43
7/12/2023 3:00;44.79
7/12/2023 2:00;53.84
7/12/2023 1:00;23.43
7/12/2023 0:00;31.34
6/12/2023 23:00;34.61
6/12/2023 22:00;43.04
6/12/2023 21:00;40.62
6/12/2023 20:00;29.69
6/12/2023 19:00;41.52
6/12/2023 18:00;85.66
6/12/2023 17:00;26.58
6/12/2023 16:00;26.35
6/12/2023 15:00;27.29
6/12/2023 14:00;14.3
6/12/2023 13:00;16.37
6/12/2023 12:00;35.9
6/12/2023 11:00;28.09
6/12/2023 10:00;27.6
6/12/2023 9:00;68.34
6/12/2023 8:00;110.01
6/12/2023 7:00;90.99
6/12/2023 6:00;79.37
6/12/2023 5:00;35.01
6/12/2023 4:00;47.69
6/12/2023 3:00;49.85
6/12/2023 2:00;53.13
6/12/2023 1:00;70.75
6/12/2023 0:00;44.06
5/12/2023 23:00;32.93
5/12/2023 22:00;40.03
5/12/2023 21:00;23.33
5/12/2023 20:00;40.01
5/12/2023 19:00;42.7
5/12/2023 18:00;31.77
5/12/2023 17:00;17.35
5/12/2023 16:00;16.92
5/12/2023 15:00;45.6
5/12/2023 14:00;31.37
5/12/2023 13:00;105.91
5/12/2023 12:00;117.78
5/12/2023 11:00;118.86
5/12/2023 10:00;137.92
5/12/2023 9:00;149.39
5/12/2023 8:00;101.32
5/12/2023 7:00;58.46
5/12/2023 6:00;31.64
5/12/2023 5:00;33.0
5/12/2023 4:00;71.95
5/12/2023 3:00;53.49
5/12/2023 2:00;50.19
5/12/2023 1:00;76.4
5/12/2023 0:00;51.41
4/12/2023 23:00;40.38
4/12/2023 22:00;37.54
4/12/2023 21:00;39.33
4/12/2023 20:00;69.36
4/12/2023 19:00;109.71
4/12/2023 18:00;78.92
4/12/2023 17:00;84.98
4/12/2023 16:00;59.48
4/12/2023 15:00;40.69
4/12/2023 14:00;15.06
4/12/2023 13:00;22.09
4/12/2023 12:00;20.65
4/12/2023 11:00;51.75
4/12/2023 10:00;27.51
4/12/2023 9:00;38.01
4/12/2023 8:00;74.69
4/12/2023 7:00;50.35
4/12/2023 6:00;51.83
4/12/2023 5:00;34.24
4/12/2023 4:00;25.53
4/12/2023 3:00;36.48
4/12/2023 2:00;29.18
4/12/2023 1:00;29.07
4/12/2023 0:00;25.36
3/12/2023 23:00;25.69
3/12/2023 22:00;25.73
3/12/2023 21:00;23.53
3/12/2023 20:00;22.35
3/12/2023 19:00;28.79
3/12/2023 18:00;24.02
3/12/2023 17:00;23.09
3/12/2023 16:00;12.66
3/12/2023 15:00;10.73
3/12/2023 14:00;20.9
3/12/2023 13:00;19.29
3/12/2023 12:00;25.42
3/12/2023 11:00;38.21
3/12/2023 10:00;42.28
3/12/2023 9:00;55.59
3/12/2023 8:00;51.06
3/12/2023 7:00;63.83
3/12/2023 6:00;68.42
3/12/2023 5:00;51.52
3/12/2023 4:00;36.63
3/12/2023 3:00;25.61
3/12/2023 2:00;31.31
3/12/2023 1:00;27.4
3/12/2023 0:00;22.85
2/12/2023 23:00;24.18
2/12/2023 22:00;25.39
2/12/2023 21:00;28.45
2/12/2023 20:00;36.56
2/12/2023 19:00;26.93
2/12/2023 18:00;25.74
2/12/2023 17:00;15.54
2/12/2023 16:00;9.52
2/12/2023 15:00;10.35
2/12/2023 14:00;11.92
28/02/2024 22:59;25.49
28/02/2024 21:59;26.15
28/02/2024 20:59;26.69
28/02/2024 19:59;22.59
28/02/2024 18:59;20.45
28/02/2024 17:59;30.05
28/02/2024 16:59;20.57
28/02/2024 15:59;16.54
28/02/2024 13:59;14.1
28/02/2024 12:59;14.16
28/02/2024 11:59;12.1
28/02/2024 10:59;10.49
28/02/2024 9:59;12.01
28/02/2024 8:59;15.71
28/02/2024 7:59;17.42
28/02/2024 6:59;23.69
28/02/2024 5:59;31.06
28/02/2024 4:59;21.64
28/02/2024 3:59;22.57
28/02/2024 2:59;30.23
28/02/2024 1:59;29.06
28/02/2024 0:59;27.73
27/02/2024 23:59;25.48
27/02/2024 22:59;26.62
27/02/2024 21:59;30.85
27/02/2024 20:59;20.38
27/02/2024 19:59;16.28
27/02/2024 18:59;16.45
27/02/2024 17:59;20.85
27/02/2024 16:59;21.53
27/02/2024 15:59;15.27
27/02/2024 14:59;22.19
27/02/2024 13:59;19.39
27/02/2024 12:59;17.71
27/02/2024 11:59;20.19
27/02/2024 10:59;19.78
27/02/2024 9:59;23.59
27/02/2024 8:59;32.66
27/02/2024 7:59;34.47
27/02/2024 6:59;52.55
27/02/2024 5:59;30.22
27/02/2024 4:59;24.79
27/02/2024 3:59;24.68
27/02/2024 2:59;19.8
27/02/2024 1:59;20.6
27/02/2024 0:59;23.58
26/02/2024 23:59;23.87
26/02/2024 22:59;25.07
26/02/2024 21:59;26.47
26/02/2024 20:59;22.98
26/02/2024 19:59;24.47
26/02/2024 18:59;22.13
26/02/2024 17:59;19.27
26/02/2024 16:59;13.61
26/02/2024 15:59;13.46
26/02/2024 14:59;14.15
26/02/2024 13:59;15.4
26/02/2024 12:59;14.56
