Fecha;PM10;PM2.5;Vel Vient0;Dir Vient0;NO;NO2;NOX;SO2;CO;OZONO;BC ug/m3;Temperatura;Presion Baro;HR;Precipitacion;Rad Solar
18/06/2024 2:00;6;0,3;1,9;115;0,6;2,4;3;0;0,1;3;0,3;12;0;80,5;0;0
18/06/2024 3:00;14;0,3;1,6;104;0,5;2,3;2,8;0;0,1;2,2;0,3;11,7;0;80,4;0;0
18/06/2024 4:00;12;2;0,8;102;1,2;6,2;7,5;0;0,2;1,2;0,5;12;0;80,3;0;0
18/06/2024 5:00;18;1,2;0,2;358;8;10,6;18,6;0;0,2;0;1,2;12;0;82,3;0;0
18/06/2024 6:00;24;3;0,3;76;15,5;13,5;29;0;0,4;0;2,5;11,8;0;85,7;0;1
18/06/2024 7:00;25;10;0,9;97;19,8;8,1;27,9;0;0,6;0;2,6;11,7;0;85,5;0;28
18/06/2024 8:00;39;11;0,3;351;23,1;13,8;36,9;0;0,7;0,5;3,4;13,3;0;79,3;0;101
18/06/2024 9:00;43;19;0,3;327;22,4;16;38,5;0;0,6;2,9;4,2;16,3;0;66,9;0;347
18/06/2024 10:00;40;22;0,8;10;16,2;23,3;39,5;0;0,8;7,6;4,3;19;0;56,1;0;554
18/06/2024 11:00;77;23;0,6;328;14,1;43,4;57,5;0;1,2;13,2;7,6;20,3;0;50,6;0;437
18/06/2024 12:00;0;36;1,9;127;0;0;0;0;0;0;4,8;18,6;0;53,8;0;185
18/06/2024 13:00;14;6;2,8;127;0;0;0;0;0;0;0,5;19,1;0;50,6;0;296
18/06/2024 14:00;17;3;3,3;105;0;0;0;0;0;0;0,6;16,5;0;62,3;0;92
18/06/2024 15:00;14;3;3,7;113;3,3;5,3;8,6;0;0,3;7,4;0,8;16,2;0;63,3;0;136
18/06/2024 16:00;10;2;2;91;1,9;4,4;6,3;0;0,2;6,8;0,6;16,3;0;60,4;0;124
18/06/2024 17:00;7;1;1,9;83;3,1;6,3;9,4;0;0,3;5,7;1;15,5;0;62,5;0;50
18/06/2024 18:00;14;3;2,1;100;5,3;9,1;14,4;0;0,4;5,4;1,1;14,9;0;64,7;0;9
18/06/2024 19:00;13;4;1,6;102;7,3;12;19,3;0;0,7;3,6;1,8;14,4;0;67,7;0;0
18/06/2024 20:00;20;6;1,5;100;8,8;10,3;19;0;0,6;2,2;1,3;13,6;0;71,5;0;0
18/06/2024 21:00;18;3;1,5;105;10,6;9,5;20,1;0;0,6;1,1;1,8;13,3;0;73,1;0;0
18/06/2024 22:00;30;2,9;1,4;110;20,3;11,2;31,5;0;0,8;0;2,9;13,2;0;75,1;0;0
18/06/2024 23:00;19;8;1,6;102;8,3;7;15,3;0;0,4;0,2;1,9;12,9;0;76,3;0;0
19/06/2024 0:00;17;6;1,5;111;7,3;7,9;15,3;0;0,4;0,1;1,8;12,6;0;78;0;0
19/06/2024 1:00;19;4;1;96;3,5;7,3;10,8;0;0,3;0,2;1,4;12,4;0;79,2;0,4;0
19/06/2024 2:00;16;8;0,4;100;2;7,6;9,6;0;0,3;0,3;1,5;11,7;0;86,3;0,5;0
19/06/2024 3:00;19;7;0,3;93;1,7;8,9;10,6;0;0,3;0,3;1,4;11,6;0;88,1;0,1;0
19/06/2024 4:00;4;4;0,3;256;0,7;12,7;13,4;0;0,3;2,9;1,8;11,8;0;89,6;0;0
19/06/2024 5:00;11;2;0,3;311;1,2;16,4;17,6;0;0,3;1,9;1,8;11,6;0;91;0;0
19/06/2024 6:00;16;4;0,7;102;11,9;10,2;22,1;0;0,4;0;2,5;11,1;0;90,1;0;1
19/06/2024 7:00;17;6;1;110;26,9;9,6;36,5;0;0,8;0;3,4;11,5;0;88,4;0;50
19/06/2024 8:00;21;6;0,4;346;21,2;17,7;38,9;0;0,8;2,5;3,6;16,5;0;70,6;0;247
19/06/2024 9:00;25;10;0,7;350;18,5;20,1;38,7;0;0,9;4,9;4,8;18,6;0;60,8;0;454
19/06/2024 10:00;14;13;0,6;95;8,9;12,8;21,7;0;0,5;6;2,7;18,3;0;55,8;0;304
19/06/2024 11:00;8;8;2,3;112;2,7;5,7;8,5;0;0,3;6,9;0,9;17;0;58,3;0;244
19/06/2024 12:00;15;4;1,8;127;2,8;4,4;7,1;0;0,2;7,3;1;18,8;0;52,4;0;345
19/06/2024 13:00;6;1;2,2;124;2,3;3,9;6,1;0;0,2;7,1;0,7;18;0;56,8;0;285
19/06/2024 14:00;27;2,9;1,3;12;5,8;17,6;23,4;0;0,5;4,8;2,9;15,2;0;75,7;0,4;84
19/06/2024 15:00;19;15;1,6;349;6,5;18,2;24,7;0;0,6;5;3,6;14,1;0;86,1;0;185
19/06/2024 16:00;14;9;1,3;329;7,2;17,3;24,6;0;0,6;7,4;3,3;16,7;0;72,6;0;210
19/06/2024 17:00;36;12;1;333;6,3;24,8;31,1;0;0,7;8;4,5;17;0;69,3;0;90
19/06/2024 18:00;45;17;0,6;326;7,1;32,9;40;0;0,9;3,3;5,9;15,3;0;74,6;0;16
19/06/2024 19:00;17;17;1,8;84;3,3;11,8;15,1;0;0,5;4,3;2,5;14,8;0;70,6;0;0
19/06/2024 20:00;13;2;1,8;57;1,5;7,2;8,7;0;0,4;5;0,5;14,2;0;71,3;0;0
19/06/2024 21:00;11;1;0,5;93;5,4;13,4;18,9;0;0,5;1,7;1;12,7;0;85;2,7;0
19/06/2024 22:00;11;4;0,2;54;12;17,3;29,3;0;0,7;0;2,2;12,2;0;90,6;0,8;0
19/06/2024 23:00;14;7;1,2;102;8;10,5;18,5;0;0,5;0,4;1,8;11,6;0;91,2;0,1;0
20/06/2024 0:00;10;6;2,2;106;2,6;4,8;7,5;0;0,2;1,8;0,7;11;0;87,9;0;0
20/06/2024 1:00;6;3;1,6;108;1,8;4,1;5,8;0;0,2;2,3;0,3;11;0;85,4;0;0
20/06/2024 2:00;11;5;1,6;106;1,1;7,1;8,2;0;0,2;1,8;0,4;11;0;86,3;0;0
20/06/2024 3:00;10;4;1,3;109;1,7;7;8,7;0;0,2;0,6;0,9;11,4;0;86,3;0;0
20/06/2024 4:00;7;1;1,5;109;2,3;5,6;7,8;0;0,2;0;0,9;11;0;86,8;0;0
20/06/2024 5:00;13;1,3;1;105;5,2;6,4;11,7;0;0,3;0;1,3;11,2;0;85,9;0;0
20/06/2024 6:00;22;2,5;1;108;12,4;7,7;20;0;0,4;0;2,5;11,3;0;86,1;0;1
20/06/2024 7:00;32;5;0,4;115;27,7;12,2;39,9;0;0,7;0;3,7;11,8;0;85,2;0;41
20/06/2024 8:00;30;7;0,2;60;27,5;16,6;44,2;0;0,8;1,1;4,7;13,5;0;79,2;0;116
20/06/2024 9:00;34;8;0,4;322;29,1;24,1;53,2;0;1;2,4;5,5;15,6;0;70,2;0;181
20/06/2024 10:00;14;0;1,6;107;9,7;10,2;19,8;0;0,5;5,6;3,1;17,2;0;58,1;0;363
20/06/2024 11:00;9;4;2;108;2,3;5,3;7,5;0;0,3;7;0,8;16,5;0;58,8;0;264
20/06/2024 12:00;7;4;2,5;102;1,9;4,2;6,1;0;0,2;6,8;0,5;16,9;0;59,2;0;384
20/06/2024 13:00;7;3;3;109;2;3,6;5,6;0;0,2;7,3;0,3;17,6;0;57;0;355
20/06/2024 14:00;4;0,7;2,4;113;2,3;4;6,3;0;0,3;7;0,7;17;0;59,8;0;354
20/06/2024 15:00;10;0,6;2,6;115;2,4;4,1;6,4;0;0,2;7,2;0,6;18,2;0;54,5;0;314
20/06/2024 16:00;8;0;1,7;134;3,2;4,6;7,8;0;0,3;7,1;0,7;18,1;0;54,4;0;161
20/06/2024 17:00;16;1;2,2;118;4,2;6,2;10,4;0;0,3;6,1;0,7;17,3;0;57,2;0;79
20/06/2024 18:00;10;2;1,2;137;7;9;16,1;0;0,5;4,2;1,6;14,5;0;75;2,2;3
20/06/2024 19:00;7;1,5;1;155;9,1;11,2;20,4;0;0,6;2,2;1,5;12,7;0;84,5;0;0
20/06/2024 20:00;10;6;0,9;143;9,9;11,7;21,5;0;0,6;2,4;0,9;12,8;0;79,6;0;0
20/06/2024 21:00;12;5;1,9;165;8,3;10,1;18,4;0;0,4;4;1,1;13,1;0;73,5;0;0
20/06/2024 22:00;18;3;1,5;116;6,5;8,9;15,5;0;0,5;2,5;1;12,4;0;77,7;0;0
20/06/2024 23:00;17;1,1;1,1;124;6,5;8,5;15;0;0,4;2,6;1,1;12,2;0;78,6;0;0
21/06/2024 0:00;3;2;1,2;105;3,1;6,1;9,2;0;0,3;3,1;0,8;12,3;0;78,4;0;0
21/06/2024 1:00;9;2;0,8;108;1,7;4,9;6,7;0;0,2;2,1;0,6;12,2;0;80,7;0;0
21/06/2024 2:00;16;2;1,4;107;0,8;2,9;3,7;0;0,1;2,6;0,3;11,7;0;84,3;0,2;0
21/06/2024 3:00;16;2;1,1;99;0,9;4,6;5,5;0;0,1;2,5;0,4;10,9;0;89,8;0,3;0
21/06/2024 4:00;8;2;1;133;1,2;5;6,2;0;0,1;3,6;0,4;10,9;0;88,3;0;0
21/06/2024 5:00;11;2;1,2;132;1,8;6,4;8,3;0;0,1;5,2;0,5;11,6;0;79,3;0;0
21/06/2024 6:00;13;2,5;1,1;93;11,9;11,8;23,7;0;0,3;1;2,5;11,3;0;83,4;0;1
21/06/2024 7:00;33;5;0,4;351;38,8;15,4;54,3;0;1;0,3;4,1;11,8;0;82,4;0;31
21/06/2024 8:00;71;8;1;353;79,9;25,1;105;0;1,8;0;0;12,4;0;80,8;0;62
21/06/2024 9:00;0;27;0,6;18;20,2;11,8;32;0;0,7;3,9;6,1;14,9;0;66,8;0;199
21/06/2024 10:00;9;1,1;1,7;88;5,7;6,4;12,1;0;0,3;6,5;1,1;16,8;0;58,4;0;377
21/06/2024 11:00;10;4;2,2;102;2;4,3;6,4;0;0,2;6,6;0,7;17,6;0;56,7;0;554
21/06/2024 12:00;6;1;1;136;2,1;3,4;5,5;0;0,2;7,2;0,5;19,2;0;51,8;0;560
21/06/2024 13:00;9;0,9;2,4;122;2,5;3,6;6,1;0;0,2;6,5;0,9;18,1;0;57;0;497
21/06/2024 14:00;7;0,8;2,4;125;2,4;3,8;6,1;0;0,2;6,8;0,8;17,2;0;59,8;0;291
21/06/2024 15:00;8;0;3,3;119;3,2;4,5;7,7;0;0,2;7;0,7;16,6;0;61,2;0;245
21/06/2024 16:00;12;0;2,5;128;3,1;4,7;7,9;0;0,2;6,8;0,7;15,6;0;66,2;0;121
21/06/2024 17:00;11;2;2,1;114;2,9;4,6;7,5;0;0,2;6,6;1;16,3;0;62,6;0;166
21/06/2024 18:00;10;3;2,1;114;3,6;6,2;9,9;0;0,3;6,4;0,8;15,1;0;66,5;0;28
21/06/2024 19:00;13;3;2,2;102;3,9;6,8;10,6;0;0,4;4,8;0,7;13,9;0;69,7;0;0
